1,0
2,100
3,300
4,600
5,1000
6,1500
7,2100
8,2800
9,3600
10,4500
11,5500
12,6600
13,7800
14,9100
15,10500
16,12000
17,13600
18,15300
19,17100
20,19000
21,21000
22,23100
23,25300
24,27600
25,30000
26,32500
27,35100
28,37900
29,41000
30,44400
31,48600
32,53200
33,58200
34,63600
35,69400
36,75700
37,82400
38,89600
39,97300
40,105500
41,114300
42,123600
43,133500
44,144000
45,155100
46,166900
47,179400
48,192500
49,206400
50,221000
51,236400
52,252500
53,269400
54,287100
55,305700
56,325200
57,345600
58,366900
59,389200
60,412500
61,436800
62,462100
63,488400
64,515800
65,544300
66,573900
67,604700
68,636700
69,669900
70,704300
71,749400
72,796200
73,844800
74,895200
75,947400
76,1001400
77,1057300
78,1115200
79,1175000
80,1236800
81,1300700
82,1366700
83,1434800
84,1505100
85,1577700
86,1652500
87,1729600
88,1809100
89,1891000
90,1975300
91,2087900
92,2204000
93,2323500
94,2446600
95,2573300
96,2703700
97,2837800
98,2975700
99,3117500
100,3263200
101,3363200
102,3483200
103,3623200
104,3783200
105,3963200
106,4163200
107,4383200
108,4623200
109,4903200
110,5263200
111,5743200
112,6383200
113,7283200
114,8483200
115,10083200
116,12283200
117,15283200
118,19283200
119,24283200
120,30283200
